Date,Network,Upload,Download,Total
"2023-03-06","NOS-F368","351 MB","1,16 GB","1,51 GB"
"2023-03-07","NOS-F368","574,6 MB","1,38 GB","1,95 GB"
"2023-03-07","NOS-F368-5","59,6 MB","580,9 MB","640,5 MB"
"2023-03-08","NOS-F368-5","342,2 MB","1,32 GB","1,66 GB"
"2023-03-09","NOS-F368-5","509,2 MB","2,83 GB","3,34 GB"
"2023-03-10","NOS-F368-5","621,4 MB","2,32 GB","2,94 GB"
"2023-03-11","NOS-F368-5","322,5 MB","1,88 GB","2,21 GB"
"2023-03-12","NOS-F368-5","248,9 MB","3,63 GB","3,88 GB"
"2023-03-13","NOS-F368-5","261,6 MB","1,52 GB","1,78 GB"
"2023-03-14","NOS-F368-5","604,2 MB","2,27 GB","2,87 GB"
"2023-03-15","NOS-F368-5","164 MB","738,5 MB","902,4 MB"
"2023-03-16","NOS-F368-5","428,5 MB","2,39 GB","2,82 GB"
"2023-03-17","NOS-F368-5","397,9 MB","2,29 GB","2,69 GB"
"2023-03-18","NOS-F368-5","330,6 MB","2,73 GB","3,06 GB"
"2023-03-19","NOS-F368-5","291 MB","853,3 MB","1,14 GB"
"2023-03-20","NOS-F368-5","572,5 MB","3,45 GB","4,03 GB"
"2023-03-21","NOS-F368-5","400,5 MB","2,61 GB","3,01 GB"
"2023-03-22","NOS-F368-5","193,3 MB","1,96 GB","2,15 GB"
"2023-03-23","NOS-F368-5","373,2 MB","3,08 GB","3,45 GB"
"2023-03-24","NOS-F368-5","3,14 GB","10,49 GB","13,64 GB"
"2023-03-25","NOS-F368-5","385,8 MB","4,03 GB","4,42 GB"
"2023-03-26","NOS-F368-5","274 MB","1,6 GB","1,87 GB"
"2023-03-27","NOS-F368-5","203,7 MB","3,16 GB","3,36 GB"
"2023-03-28","NOS-F368-5","275,5 MB","6,98 GB","7,25 GB"
"2023-03-31","NOS-F368-5","333,6 MB","18,51 GB","18,84 GB"
"2023-04-01","NOS-F368-5","450,6 MB","16,63 GB","17,08 GB"
"2023-04-02","NOS-F368","113,1 MB","689,8 MB","802,9 MB"
"2023-04-02","NOS-F368-5","145,8 MB","959,6 MB","1,11 GB"
"2023-04-02","Wi-Fi","24 KB","Zero KB","24 KB"
"2023-04-03","NOS-F368","2,66 GB","7,33 GB","10 GB"
"2023-04-03","NOS-F368-5","6,5 MB","10,1 MB","16,5 MB"
"2023-04-04","NOS-F368-5","368,8 MB","2,26 GB","2,63 GB"
"2023-04-05","NOS-F368-5","2,02 GB","6,33 GB","8,34 GB"
"2023-04-06","NOS-F368-5","2,4 GB","7,24 GB","9,64 GB"
"2023-04-07","NOS-F368-5","340 MB","3 GB","3,34 GB"
"2023-04-08","NOS-F368-5","292,5 MB","9,34 GB","9,63 GB"
"2023-04-09","NOS-F368-5","179,7 MB","1,57 GB","1,75 GB"
"2023-04-10","NOS-F368-5","183,8 MB","2,05 GB","2,24 GB"
"2023-04-11","NOS-F368-5","304,2 MB","2,79 GB","3,1 GB"
"2023-04-12","NOS-F368-5","1,82 GB","8,05 GB","9,87 GB"
"2023-04-13","NOS-F368-5","561,5 MB","2,07 GB","2,64 GB"
"2023-04-14","Wi-Fi","2 KB","1 KB","3 KB"
"2023-04-14","NOS-F368-5","1,5 GB","9,63 GB","11,13 GB"
"2023-04-15","NOS-F368-5","135,3 MB","1,39 GB","1,53 GB"
"2023-04-16","NOS-F368-5","80,5 MB","195,8 MB","276,3 MB"
"2023-04-17","NOS-F368-5","735,4 MB","3,01 GB","3,75 GB"
"2023-04-18","NOS-F368-5","80,4 MB","962,5 MB","1,04 GB"
"2023-04-19","NOS-F368-5","88,2 MB","407,8 MB","496 MB"
"2023-04-20","NOS-F368-5","415,8 MB","4,91 GB","5,32 GB"
"2023-04-21","NOS-F368-5","505,1 MB","7,13 GB","7,64 GB"
"2023-04-22","NOS-F368-5","483,8 MB","2,8 GB","3,28 GB"
"2023-04-23","NOS-F368-5","525 MB","7,95 GB","8,48 GB"
"2023-04-24","NOS-F368-5","464 MB","2,66 GB","3,12 GB"
"2023-04-25","Wi-Fi","35 KB","Zero KB","35 KB"
"2023-04-25","NOS-F368","359,4 MB","2,4 GB","2,76 GB"
"2023-04-25","NOS-F368-5","262,9 MB","1,62 GB","1,88 GB"
"2023-04-26","NOS-F368-5","491,4 MB","2,88 GB","3,37 GB"
"2023-04-27","NOS-F368-5","924,3 MB","6 GB","6,92 GB"
"2023-04-28","NOS-F368-5","712,6 MB","10,01 GB","10,72 GB"
"2023-04-29","NOS-F368-5","432,7 MB","2,28 GB","2,71 GB"
"2023-04-30","Wi-Fi","28 KB","Zero KB","28 KB"
"2023-04-30","NOS-F368-5","363,1 MB","3,49 GB","3,86 GB"
"2023-05-01","NOS-F368-5","267,4 MB","3,11 GB","3,37 GB"
"2023-05-02","NOS-F368-5","1,45 GB","5,19 GB","6,64 GB"
"2023-05-03","NOS-F368-5","169,1 MB","951 MB","1,12 GB"
"2023-05-04","NOS-F368-5","3,34 GB","11,32 GB","14,66 GB"
"2023-05-05","NOS-F368-5","295,1 MB","2,21 GB","2,51 GB"
"2023-05-06","NOS-F368-5","134,7 MB","648,5 MB","783,2 MB"
